City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Boyolangu,ID,75.81,overcast clouds,-8.1181,111.8935,Yos ega cv
4,Tevaitoa,PF,78.35,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
10,Faanui,PF,78.55,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Galle,LK,81.55,broken clouds,6.0367,80.217,Amangalla
20,Pontianak,ID,82.38,thunderstorm,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
27,Davila,PH,83.91,light rain,18.4726,120.5763,Blue Ridge Beach Resort
28,Bengkulu,ID,80.26,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
29,Hilo,US,73.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
30,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
31,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
32,Kahului,US,78.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
35,Sangmelima,CM,74.34,overcast clouds,2.9333,11.9833,gamestar hotel
36,Bondeno,IT,79.11,overcast clouds,44.8862,11.4108,Locanda e Cucina il Fagiano
39,Yumen,CN,74.7,few clouds,40.2833,97.2,
41,Labuhan,ID,82.72,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
42,Xiamen,CN,80.96,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
45,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
49,Harper,LR,80.11,light rain,4.375,-7.7169,Screensaver
50,Naze,JP,77.52,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
51,Codajas,BR,79.54,few clouds,-3.8367,-62.0569,Hotel Tucunaré
53,Hermanus,ZA,72.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
54,Hithadhoo,MV,82.38,light rain,-0.6,73.0833,Scoop Guest House
55,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
57,Hirado,JP,74.12,overcast clouds,33.3597,129.5531,Samson Hotel
58,Pangkalanbuun,ID,77.77,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
