City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nizhnyaya Tavda,RU,2021-09-17 12:12:29,57.6731,66.1725,39.42,97,100,14.45,overcast clouds
1,Shizunai,JP,2021-09-17 12:09:52,42.3339,142.3669,62.56,88,100,15.5,light rain
2,Gat,IL,2021-09-17 12:12:30,31.61,34.7642,89.4,41,0,14.99,clear sky
3,Boyolangu,ID,2021-09-17 12:12:30,-8.1181,111.8935,75.81,90,97,5.99,overcast clouds
4,Tevaitoa,PF,2021-09-17 12:12:30,-16.7833,-151.5,78.35,74,9,25.28,clear sky
5,Narsaq,GL,2021-09-17 12:12:31,60.9167,-46.05,39.42,72,89,2.68,overcast clouds
6,Port Elizabeth,ZA,2021-09-17 12:12:31,-33.918,25.5701,65.1,56,76,10.87,broken clouds
7,Barrow,US,2021-09-17 12:12:32,71.2906,-156.7887,33.82,93,90,3.44,mist
8,Dikson,RU,2021-09-17 12:12:32,73.5069,80.5464,33.89,71,100,17.6,overcast clouds
9,Novorzhev,RU,2021-09-17 12:12:32,57.0294,29.3338,54.55,47,53,10.31,broken clouds
10,Faanui,PF,2021-09-17 12:12:33,-16.4833,-151.75,78.55,73,7,24.56,light rain
11,Guiratinga,BR,2021-09-17 12:12:33,-16.3494,-53.7583,89.02,30,19,5.91,few clouds
12,Nikolskoye,RU,2021-09-17 12:12:33,59.7035,30.7861,49.89,48,43,7.92,scattered clouds
13,Galle,LK,2021-09-17 12:12:34,6.0367,80.217,81.55,82,72,10.94,broken clouds
14,Ushuaia,AR,2021-09-17 12:11:33,-54.8,-68.3,33.46,86,75,3.44,broken clouds
15,Camacupa,AO,2021-09-17 12:02:42,-12.0167,17.4833,93.33,12,29,6.73,scattered clouds
16,Tuktoyaktuk,CA,2021-09-17 12:12:34,69.4541,-133.0374,42.57,83,100,12.82,overcast clouds
17,Punta Arenas,CL,2021-09-17 12:12:35,-53.15,-70.9167,35.71,100,90,8.05,overcast clouds
18,Thompson,CA,2021-09-17 12:12:36,55.7435,-97.8558,44.76,93,90,10.36,overcast clouds
19,Luderitz,NA,2021-09-17 12:12:36,-26.6481,15.1594,64.13,51,0,10.31,clear sky
20,Pontianak,ID,2021-09-17 12:08:39,-0.0333,109.3333,82.38,83,75,0.0,thunderstorm
21,Puerto Ayora,EC,2021-09-17 12:12:37,-0.7393,-90.3518,66.54,98,95,5.01,overcast clouds
22,Port Alfred,ZA,2021-09-17 12:12:37,-33.5906,26.891,62.02,58,74,17.47,broken clouds
23,Pevek,RU,2021-09-17 12:12:38,69.7008,170.3133,32.45,100,100,7.09,snow
24,Yellowknife,CA,2021-09-17 12:09:33,62.456,-114.3525,37.04,74,78,6.67,broken clouds
25,Marathon,US,2021-09-17 12:12:38,44.9,-89.7668,63.81,78,40,5.75,scattered clouds
26,Mataura,NZ,2021-09-17 12:12:38,-46.1927,168.8643,36.48,86,9,3.78,clear sky
27,Davila,PH,2021-09-17 12:12:39,18.4726,120.5763,83.91,81,76,9.51,light rain
28,Bengkulu,ID,2021-09-17 12:12:39,-3.8004,102.2655,80.26,82,67,7.65,broken clouds
29,Hilo,US,2021-09-17 12:12:26,19.7297,-155.09,73.8,87,90,5.75,light rain
30,Itoman,JP,2021-09-17 12:12:40,26.1247,127.6694,82.42,78,20,6.91,few clouds
31,Belmonte,BR,2021-09-17 12:12:40,-15.8631,-38.8828,79.3,54,9,10.07,clear sky
32,Kahului,US,2021-09-17 12:12:41,20.8947,-156.47,78.82,73,1,19.57,clear sky
33,Pangnirtung,CA,2021-09-17 12:12:41,66.1451,-65.7125,33.98,77,99,3.2,overcast clouds
34,Kupino,RU,2021-09-17 12:12:41,54.3663,77.2981,58.53,43,88,15.32,overcast clouds
35,Sangmelima,CM,2021-09-17 12:12:42,2.9333,11.9833,74.34,80,100,2.86,overcast clouds
36,Bondeno,IT,2021-09-17 12:12:42,44.8862,11.4108,79.11,74,94,1.99,overcast clouds
37,Belle Fourche,US,2021-09-17 12:12:43,44.6714,-103.8522,49.05,44,1,4.68,clear sky
38,Albany,US,2021-09-17 12:10:17,42.6001,-73.9662,66.78,91,22,3.04,few clouds
39,Yumen,CN,2021-09-17 12:12:43,40.2833,97.2,74.7,21,14,4.45,few clouds
40,Aginskoye,RU,2021-09-17 12:12:44,51.1,114.53,47.95,51,88,7.87,overcast clouds
41,Labuhan,ID,2021-09-17 12:12:44,-6.8844,112.2051,82.72,71,66,9.37,broken clouds
42,Xiamen,CN,2021-09-17 12:12:45,24.4798,118.0819,80.96,85,9,8.08,clear sky
43,Zarechnyy,RU,2021-09-17 12:12:45,53.2036,45.1923,49.17,48,100,7.72,overcast clouds
44,Bluff,NZ,2021-09-17 12:12:45,-46.6,168.3333,36.81,74,14,12.86,few clouds
45,Avarua,CK,2021-09-17 12:12:46,-21.2078,-159.775,75.25,78,90,16.11,overcast clouds
46,Chokurdakh,RU,2021-09-17 12:12:46,70.6333,147.9167,34.7,98,100,9.66,overcast clouds
47,Komsomolskiy,UZ,2021-09-17 12:12:46,40.4272,71.7189,90.32,14,0,4.61,clear sky
48,Whitianga,NZ,2021-09-17 12:12:47,-36.8333,175.7,51.03,71,91,6.8,overcast clouds
49,Harper,LR,2021-09-17 12:12:47,4.375,-7.7169,80.11,79,89,9.28,light rain
50,Naze,JP,2021-09-17 12:12:47,28.3667,129.4833,77.52,78,38,9.51,scattered clouds
51,Codajas,BR,2021-09-17 12:12:48,-3.8367,-62.0569,79.54,74,22,2.17,few clouds
52,Mount Gambier,AU,2021-09-17 12:12:48,-37.8333,140.7667,51.82,89,45,12.66,scattered clouds
53,Hermanus,ZA,2021-09-17 12:12:49,-34.4187,19.2345,72.9,58,37,17.45,scattered clouds
54,Hithadhoo,MV,2021-09-17 12:12:49,-0.6,73.0833,82.38,74,100,6.76,light rain
55,Vaini,TO,2021-09-17 12:12:49,-21.2,-175.2,71.76,100,20,4.61,few clouds
56,Qaanaaq,GL,2021-09-17 12:12:50,77.484,-69.3632,11.03,68,24,7.63,few clouds
57,Hirado,JP,2021-09-17 12:12:50,33.3597,129.5531,74.12,90,97,35.25,overcast clouds
58,Pangkalanbuun,ID,2021-09-17 12:12:51,-2.6833,111.6167,77.77,86,47,3.42,moderate rain
59,Chuy,UY,2021-09-17 12:12:51,-33.6971,-53.4616,57.04,75,0,7.18,clear sky
60,Glendive,US,2021-09-17 12:11:19,47.1053,-104.7125,43.18,39,0,7.52,clear sky
61,Vanersborg,SE,2021-09-17 12:12:51,58.3807,12.3234,52.92,87,90,16.11,overcast clouds
62,Tiksi,RU,2021-09-17 12:12:52,71.6872,128.8694,36.07,83,100,15.86,overcast clouds
63,Plettenberg Bay,ZA,2021-09-17 12:12:52,-34.0527,23.3716,59.47,61,72,6.38,broken clouds
64,Flinders,AU,2021-09-17 12:12:53,-34.5833,150.8552,62.26,81,74,1.99,broken clouds
65,Changping,CN,2021-09-17 12:12:53,40.2186,116.2197,64.04,62,55,2.24,light rain
66,Dzilam Gonzalez,MX,2021-09-17 12:12:54,21.2833,-88.9333,75.72,97,94,4.54,overcast clouds
67,Puri,IN,2021-09-17 12:12:54,19.8,85.85,84.72,75,73,7.76,broken clouds
